Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2019136111019,417000,433017,-1.743423,53.793206,13,3,2,1,01/01/2019,3,08:00,200,E08000032,3,650,6,30,6,4,3,647,0,0,4,1,1,0,0,1,1,E01010606,
2019136111467,419018,433809,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,
2019136121066,418157,430906,-1.725984,53.774194,13,3,2,1,02/01/2019,4,15:45,200,E08000032,3,650,3,40,5,4,6,0,0,0,1,1,1,0,0,1,1,E01010615,
2019136131015,415321,438238,-1.768652,53.840183,13,3,2,2,03/01/2019,5,15:11,200,E08000032,3,6038,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,E01010571,
2019136131184,415008,431561,-1.773732,53.780180,13,3,1,1,03/01/2019,5,08:05,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010735,
2019136141369,417694,433535,-1.732859,53.797838,13,3,1,1,04/01/2019,6,17:22,200,E08000032,4,6381,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010607,
2019136141408,410119,430447,-1.847959,53.770284,13,3,3,1,04/01/2019,6,14:35,200,E08000032,3,644,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010752,
2019136161108,409559,434444,-1.856333,53.806219,13,3,2,1,06/01/2019,1,16:11,200,E08000032,6,0,6,30,9,4,6,0,0,0,4,2,2,3,0,2,1,E01010797,
2019136171266,417261,436291,-1.739280,53.822623,13,2,1,1,07/01/2019,2,17:15,200,E08000032,6,0,6,30,0,-1,-1,0,0,4,4,4,2,0,0,1,1,E01010605,
2019136171275,415270,428061,-1.769928,53.748715,13,3,2,2,07/01/2019,2,17:19,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01010868,
2019136180892,413810,432837,-1.791855,53.791681,13,2,1,1,08/01/2019,3,14:00,200,E08000032,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01010658,
2019136180985,411384,432802,-1.828681,53.791425,13,2,1,1,08/01/2019,3,14:45,200,E08000032,4,6145,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010794,
2019136190232,413720,433623,-1.793186,53.798748,13,3,1,1,09/01/2019,4,07:58,200,E08000032,4,6145,6,30,6,2,6,0,2,5,4,1,1,0,0,1,1,E01010630,
20191361A0253,418966,436758,-1.713352,53.826762,13,3,1,1,10/01/2019,5,07:43,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01010653,
20191361A1165,413873,434281,-1.790834,53.804658,13,3,3,1,10/01/2019,5,16:35,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010811,
20191361A1322,416052,434791,-1.757722,53.809180,13,3,2,1,10/01/2019,5,12:45,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033693,
20191361A1552,405500,439359,-1.917882,53.850452,13,3,2,1,10/01/2019,5,19:50,200,E08000032,3,629,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010716,
20191361B0976,414503,433645,-1.781298,53.798925,13,3,2,1,11/01/2019,6,,200,E08000032,4,6145,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010812,
20191361B1771,417666,435016,-1.733200,53.811150,13,3,2,1,11/01/2019,6,20:21,200,E08000032,6,0,1,30,2,4,6,0,0,0,4,1,1,0,0,1,1,E01010598,
20191361C1579,416536,432656,-1.750486,53.789976,13,3,1,1,12/01/2019,7,20:30,200,E08000032,6,0,3,30,0,-1,-1,0,0,5,4,1,1,0,0,1,2,E01010730,
20191361D0147,412050,433235,-1.818555,53.795302,13,3,2,1,13/01/2019,1,01:36,200,E08000032,6,0,1,30,2,4,6,0,0,0,4,4,1,0,0,2,1,E01010794,
20191361D1101,406510,441548,-1.902484,53.870115,13,3,2,3,13/01/2019,1,12:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,4,2,0,0,1,2,E01010700,
20191361D1104,417678,432923,-1.733137,53.792338,13,3,2,1,12/01/2019,7,17:20,200,E08000032,3,647,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01010606,
20191361E1186,417899,434773,-1.729676,53.808958,13,3,2,1,14/01/2019,2,16:32,200,E08000032,6,0,6,30,6,1,3,658,2,4,4,4,2,0,0,1,1,E01010828,
20191361E1616,415843,434698,-1.760901,53.808350,13,3,3,1,14/01/2019,2,19:59,200,E08000032,6,0,6,30,6,2,6,0,2,4,4,4,2,0,0,1,1,E01033693,
20191361F0282,414553,437130,-1.780375,53.830246,13,3,3,3,15/01/2019,3,07:39,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,2,0,0,1,1,E01010789,
20191361F0304,406947,449873,-1.895653,53.944933,13,3,2,1,15/01/2019,3,08:07,200,E08000032,4,6160,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01010648,
